id,customer_id,transaction_date,amount_usd,currency,destination_suburb,destination_city,transaction_type,description,reference_number
1,8,2025/01/01 08:42,867.24,ZAR,Plettenberg Bay,Durban,TRANSFER,Vehicle purchase,TXN-2025-000981
2,84,2025/01/01 09:22,4849.54,ZAR,Centurion,Pretoria,TRANSFER,Family support,TXN-2025-001681
3,141,2025/01/01 09:40,24598.94,ZAR,East London Central,Johannesburg,PAYMENT,Commission payment,TXN-2025-001953
4,82,2025/01/01 09:44,17957.33,ZAR,Bloemfontein Central,Johannesburg,TRANSFER,Maintenance costs,TXN-2025-000004
5,98,2025/01/01 10:39,682.39,ZAR,Alexandra,Johannesburg,DEPOSIT,Personal transfer,TXN-2025-000390
6,143,2025/01/01 14:58,1431.76,ZAR,Arcadia,Pretoria,DEPOSIT,Equipment purchase,TXN-2025-001201
7,30,2025/01/01 15:29,2944.43,ZAR,Umlazi,Durban,DEPOSIT,Entertainment costs,TXN-2025-001341
8,42,2025/01/01 15:47,245.01,ZAR,Newlands,Pretoria,WITHDRAWAL,Property deposit,TXN-2025-000686
9,86,2025/01/01 17:02,6900,ZAR,Diepsloot,Durban,WITHDRAWAL,Marketing services,TXN-2025-001470
10,90,2025/01/01 17:39,12840.91,ZAR,Roodepoort,Cape Town,DEPOSIT,Consulting fee,TXN-2025-001304
11,185,2025/01/01 17:43,13358.99,ZAR,Camps Bay,Cape Town,TRANSFER,Investment funds,TXN-2025-000609
12,152,2025/01/01 18:13,1701.26,ZAR,Hillcrest,Pretoria,PAYMENT,Training costs,TXN-2025-002962
13,135,2025/01/02 08:31,15000,ZAR,Daveyton,Johannesburg,TRANSFER,School fees,TXN-2025-000194
14,60,2025/01/02 09:16,13843.73,ZAR,Claremont,Johannesburg,PAYMENT,Utility payment,TXN-2025-000818
15,37,2025/01/02 11:49,4303.63,ZAR,Orange Farm,Johannesburg,DEPOSIT,Stock purchase,TXN-2025-000490
16,111,2025/01/02 11:51,763.2,ZAR,Daveyton,Johannesburg,DEPOSIT,Stock purchase,TXN-2025-002915
17,83,2025/01/02 13:23,20999,ZAR,Edenvale,Durban,WITHDRAWAL,Import payment,TXN-2025-002788
18,179,2025/01/02 13:25,8131.71,ZAR,Pietermaritzburg,Cape Town,DEPOSIT,Savings transfer,TXN-2025-000340
19,80,2025/01/02 13:47,17652.11,ZAR,Krugersdorp,Durban,TRANSFER,Subscription fee,TXN-2025-000717
20,68,2025/01/02 16:53,12604,ZAR,Pietermaritzburg,Pretoria,DEPOSIT,Family support,TXN-2025-000537
21,178,2025/01/02 17:29,357.56,ZAR,Roodepoort,Pretoria,PAYMENT,Furniture purchase,TXN-2025-001226
22,132,2025/01/02 19:19,29534.07,ZAR,Hillcrest,Durban,WITHDRAWAL,Vehicle purchase,TXN-2025-002558
23,13,2025/01/03 08:17,8562.32,ZAR,Newlands,Cape Town,PAYMENT,Vehicle purchase,TXN-2025-001333
24,47,2025/01/03 08:31,46763.74,ZAR,Mitchells Plain,Cape Town,WITHDRAWAL,Vehicle purchase,TXN-2025-001611
25,104,2025/01/03 08:35,5990,ZAR,Atteridgeville,Pretoria,DEPOSIT,Maintenance costs,TXN-2025-002046
26,59,2025/01/03 10:06,10500,ZAR,Woodlands,Johannesburg,TRANSFER,Property deposit,TXN-2025-002483
27,81,2025/01/03 11:40,9990,ZAR,East London Central,Pretoria,WITHDRAWAL,Commission payment,TXN-2025-001580
28,72,2025/01/03 12:34,3221.7,ZAR,Roodepoort,Durban,TRANSFER,IT services,TXN-2025-002727
29,41,2025/01/03 13:15,30747.2,ZAR,Bloemfontein Central,Pretoria,DEPOSIT,Loan repayment,TXN-2025-000097
30,34,2025/01/04 08:10,178.25,ZAR,Umhlanga Rocks,Durban,WITHDRAWAL,Donation,TXN-2025-001031
31,34,2025/01/04 08:18,567.78,ZAR,Sea Point,Cape Town,WITHDRAWAL,Accounting services,TXN-2025-002037
32,156,2025/01/04 08:42,794.73,ZAR,Lynnwood,Johannesburg,PAYMENT,Business payment,TXN-2025-002667
33,20,2025/01/04 11:45,645.67,ZAR,Tsakane,Johannesburg,WITHDRAWAL,Medical expenses,TXN-2025-002178
34,192,2025/01/04 12:58,3432.27,ZAR,Green Point,Cape Town,DEPOSIT,Gift payment,TXN-2025-002706
35,111,2025/01/04 13:29,6922.28,ZAR,Kimberley Central,Durban,WITHDRAWAL,Professional services,TXN-2025-001402
36,114,2025/01/04 15:56,25900,ZAR,Mamelodi,Pretoria,PAYMENT,Commission payment,TXN-2025-001790
37,47,2025/01/04 17:25,7000,ZAR,Lynnwood,Durban,PAYMENT,Supplier payment,TXN-2025-000622
38,129,2025/01/04 17:42,3977.66,ZAR,Observatory,Cape Town,DEPOSIT,Vehicle purchase,TXN-2025-001242
39,58,2025/01/04 18:09,1478.29,ZAR,Alexandra,Johannesburg,PAYMENT,Stock purchase,TXN-2025-002004
40,67,2025/01/05 08:17,8999,ZAR,Claremont,Cape Town,PAYMENT,Donation,TXN-2025-000778
41,170,2025/01/05 14:36,1174.98,ZAR,Fourways,Johannesburg,DEPOSIT,Import payment,TXN-2025-001023
42,43,2025/01/05 15:34,7999,ZAR,Hatfield,Durban,WITHDRAWAL,Trade payment,TXN-2025-000540
43,99,2025/01/05 15:47,13215.72,ZAR,Phoenix,Durban,WITHDRAWAL,Equipment purchase,TXN-2025-000313
44,59,2025/01/05 17:52,10500,ZAR,Claremont,Cape Town,PAYMENT,Export proceeds,TXN-2025-000292
45,44,2025/01/05 19:09,23354.96,ZAR,Edenvale,Pretoria,TRANSFER,Rental payment,TXN-2025-001079
46,187,2025/01/05 19:30,349.12,ZAR,Benoni,Cape Town,WITHDRAWAL,Business payment,TXN-2025-002957
47,191,2025/01/06 08:46,7990,ZAR,Fourways,Johannesburg,PAYMENT,Property investment,TXN-2025-001281
48,126,2025/01/06 14:00,10254.45,ZAR,Paarl,Johannesburg,WITHDRAWAL,Construction payment,TXN-2025-000387
49,161,2025/01/06 14:36,448.79,ZAR,Camps Bay,Cape Town,PAYMENT,Family support,TXN-2025-000227
50,161,2025/01/06 15:41,4751.5,ZAR,Kloof,Durban,DEPOSIT,Personal transfer,TXN-2025-002958
51,7,2025/01/06 16:26,717.51,ZAR,Ivory Park,Johannesburg,WITHDRAWAL,Event payment,TXN-2025-002419
52,84,2025/01/07 08:10,3644.41,ZAR,Hillbrow,Johannesburg,TRANSFER,Property deposit,TXN-2025-002153
53,156,2025/01/07 08:55,10503.83,ZAR,Randburg,Johannesburg,DEPOSIT,Export proceeds,TXN-2025-001640
54,135,2025/01/07 09:25,984.66,ZAR,Germiston,Johannesburg,WITHDRAWAL,Gift payment,TXN-2025-002045
55,101,2025/01/07 09:34,5755.76,ZAR,Benoni,Cape Town,TRANSFER,Training costs,TXN-2025-000456
56,192,2025/01/07 09:54,20900,ZAR,Ballito,Durban,PAYMENT,Legal fees,TXN-2025-000978
